recipe_id,Calories kcal,Fat g,Saturated Fat g,Carbohydrates g,Net Carbohydrates g,Sugar g,Cholesterol mg,Sodium mg,Protein g,Vitamin K µg,Vitamin A IU,Vitamin C mg,Folate µg,Manganese mg,Fiber g,Magnesium mg,Potassium mg,Copper mg,Iron mg,Vitamin B6 mg,Phosphorus mg,Vitamin B1 mg,Vitamin E mg,Zinc mg,Vitamin B2 mg,Vitamin B3 mg,Vitamin B5 mg,Calcium mg,Selenium µg,Vitamin B12 µg,Vitamin D µg,Alcohol g
798400,130.74,2.28,0.35,23.47,15.46,7.54,0.0,502.78,7.01,423.92,3407.7,47.88,156.72,0.75,8.01,93.53,680.56,0.36,3.2,0.31,153.55,0.2,1.93,1.21,0.13,1.36,0.63,61.26,2.82,,,
646043,416.87,5.81,0.69,73.79,58.28,20.38,0.0,242.66,23.05,214.1,1495.38,156.36,713.96,2.02,15.51,266.18,1822.01,1.07,12.76,0.56,392.48,0.71,2.41,3.03,0.44,21.16,1.58,322.18,12.81,,,
716364,624.26,33.86,24.08,50.96,47.35,1.2,52.88,117.46,30.8,6.13,171.07,16.02,59.51,1.67,3.61,116.0,941.28,0.56,7.07,0.6,352.8,0.24,1.9,2.3,0.53,11.17,1.08,85.42,49.09,4.95,10.24,
660290,567.0,24.06,8.76,17.84,15.15,4.95,212.21,776.64,67.4,12.82,1104.32,10.37,93.26,0.8,2.69,112.02,1491.03,0.6,7.34,0.8,685.77,0.5,2.34,13.51,0.93,21.08,2.83,92.2,75.49,8.63,,
641122,156.84,0.9,0.13,34.5,30.5,2.81,0.0,117.7,4.21,7.46,357.36,58.32,273.59,0.32,4.0,48.64,986.71,0.3,1.72,0.38,133.2,0.18,0.45,0.74,0.08,25.55,0.6,32.61,1.25,,,
642468,252.87,1.84,0.59,47.47,27.74,13.15,1.33,354.17,16.26,66.06,1055.99,81.27,267.54,1.27,19.73,111.58,1306.79,0.56,7.14,0.68,307.96,0.55,3.28,2.99,0.31,4.3,1.72,181.67,6.69,,,
658482,430.53,7.77,2.03,87.13,72.47,10.63,0.0,111.85,10.47,23.51,8610.59,129.4,115.33,1.56,14.66,197.65,2103.69,0.68,5.72,1.16,298.76,0.78,1.67,1.78,0.15,4.73,2.33,249.73,8.44,,,
641128,746.13,33.63,10.83,31.82,29.55,5.81,187.05,1587.82,63.74,42.97,1898.51,49.31,238.62,17.66,2.27,204.04,1936.9,0.55,21.65,0.45,1105.71,0.87,5.08,8.76,1.24,8.59,2.91,246.46,232.21,61.36,,7.73
633088,587.13,18.94,6.61,34.4,26.03,6.92,323.18,1252.31,69.56,45.09,16563.0,46.67,54.83,1.05,8.37,145.2,1521.92,0.53,7.01,2.02,745.88,0.46,3.22,6.1,0.73,20.32,5.09,146.18,79.66,2.18,,
641111,658.84,20.44,5.24,55.42,51.65,1.34,142.88,1318.28,61.09,4.88,,4.19,64.98,1.0,3.77,109.94,1076.99,0.45,6.74,1.69,701.6,0.32,1.14,10.74,0.44,19.34,1.93,97.74,75.71,4.29,0.23,
650484,559.61,43.48,18.45,24.71,16.22,7.33,74.25,581.1,22.16,731.67,14701.5,67.1,313.5,2.78,8.49,146.03,1193.88,0.33,5.65,0.51,136.81,0.19,9.28,1.26,0.33,1.77,0.28,751.79,3.0,,,
652542,531.64,15.3,8.86,85.26,73.53,18.89,39.69,351.5,16.74,19.44,955.23,110.03,84.92,0.86,11.73,106.72,1805.15,0.63,4.39,1.22,290.75,0.36,1.73,1.72,0.3,4.75,1.4,334.26,4.3,0.1,,
649199,422.46,15.29,8.17,57.1,47.84,32.1,52.03,384.53,20.46,33.62,4008.23,72.62,112.34,0.89,9.27,119.8,1642.14,0.36,3.72,0.82,498.5,0.35,2.94,3.54,0.7,2.91,1.97,536.79,11.33,1.51,0.39,
651726,663.66,33.3,7.19,26.15,16.73,14.71,188.82,1048.23,65.17,383.02,28737.95,24.23,455.55,0.6,9.42,118.43,1502.25,0.33,6.56,1.3,576.48,0.4,1.36,4.51,0.61,20.27,2.91,164.7,61.68,0.76,,
641908,371.31,20.0,3.05,8.79,6.57,4.27,112.46,278.15,38.39,5.28,1336.91,10.47,22.31,0.24,2.22,62.57,887.15,0.12,1.68,1.42,416.56,0.16,5.22,1.43,0.26,18.22,2.67,72.64,55.58,0.45,0.2,
637422,661.39,27.59,4.62,81.45,56.79,11.53,15.93,1455.68,28.87,20.87,1856.06,27.24,157.51,4.01,24.66,171.14,1323.5,0.84,7.91,2.3,531.56,0.27,3.45,4.31,0.33,1.84,1.99,391.46,12.62,0.45,,
637391,507.86,21.17,14.11,27.87,21.23,13.77,145.15,587.79,53.53,21.59,1752.66,158.09,518.1,1.07,6.64,125.2,1658.58,0.42,3.42,2.2,638.24,0.31,1.7,2.4,0.34,68.67,3.74,98.09,79.04,0.45,0.23,
632983,412.01,26.37,21.64,12.54,9.94,4.75,75.0,165.27,33.32,4.05,2150.12,91.48,379.59,1.07,2.6,67.94,770.73,0.39,2.94,0.38,352.52,0.11,1.04,1.27,0.13,37.52,1.01,52.94,63.22,2.38,4.65,1.21
640234,436.28,8.21,1.3,75.16,65.96,3.26,0.0,628.88,16.36,16.82,2682.21,20.23,58.52,1.57,9.2,77.2,448.81,0.37,2.25,0.29,238.41,0.25,0.71,1.44,0.14,5.7,1.36,76.24,2.54,,,
661740,296.03,1.75,0.32,59.93,50.94,38.85,6.84,65.47,15.68,7.43,243.96,179.67,101.72,1.46,8.99,88.92,1114.16,0.25,1.71,0.67,298.36,0.16,1.07,1.41,0.51,2.2,1.3,246.26,13.57,1.06,0.67,
631752,216.56,5.58,0.59,29.94,15.16,1.6,0.0,711.94,12.16,7.75,222.58,5.54,220.09,0.79,14.79,65.03,530.77,0.3,4.37,0.3,216.06,0.41,1.7,2.32,0.11,1.39,0.99,44.03,4.02,,,
654371,625.84,10.45,2.13,70.64,63.81,17.19,160.64,1089.32,61.1,15.52,2574.48,88.62,60.74,0.37,6.83,99.58,1595.45,0.26,2.26,2.32,601.31,0.37,1.51,1.92,0.42,28.9,3.9,82.58,81.18,0.5,0.25,
640656,144.45,3.93,1.0,23.11,15.72,5.27,3.35,280.22,6.65,14.33,1250.17,75.57,47.72,1.02,7.39,51.3,539.25,0.26,2.36,0.7,132.65,0.13,1.29,1.08,0.09,1.19,0.44,76.9,6.36,,,
651180,527.19,25.97,7.68,8.5,4.2,1.82,189.13,527.54,63.15,45.57,1326.62,10.65,8.66,0.34,4.3,85.45,992.06,0.49,8.64,1.13,570.33,0.34,2.22,12.05,0.99,13.29,2.31,97.46,25.83,7.1,,
661287,654.96,18.11,2.92,108.9,98.25,7.74,0.0,407.09,14.33,254.13,4705.71,26.47,206.6,3.19,10.65,106.93,703.64,0.56,4.36,0.43,256.72,0.21,3.79,2.56,0.2,2.38,1.3,145.07,18.35,,,
657598,482.83,35.28,29.82,23.14,16.92,12.01,50.0,254.96,25.68,13.16,981.5,62.33,75.12,1.66,6.21,114.14,1114.36,0.59,4.38,0.53,368.64,0.18,1.33,1.68,0.13,6.11,0.96,74.71,51.55,1.59,3.1,
648758,357.35,26.41,8.77,5.74,3.74,0.4,52.88,719.42,24.51,10.28,896.2,24.74,127.19,2.37,2.0,60.96,639.36,0.24,3.96,0.5,199.02,0.16,3.92,1.22,0.51,21.48,0.45,69.94,43.4,4.95,10.24,
644167,466.69,16.03,3.98,33.55,27.88,2.58,117.81,588.89,45.11,5.31,670.59,16.52,16.22,0.39,5.67,75.96,898.76,0.27,2.28,1.4,501.56,1.28,1.71,3.37,0.47,15.56,1.82,86.53,60.29,1.0,0.54,
652026,231.77,4.98,1.54,36.62,32.38,4.58,8.05,225.52,11.03,,205.14,1.13,130.79,0.46,4.24,38.03,295.76,0.15,1.0,0.16,163.93,0.67,0.2,1.19,0.32,2.55,1.12,108.91,17.74,0.37,0.74,
647830,400.44,19.9,11.34,41.59,23.0,3.67,0.0,460.47,16.72,15.8,501.95,13.95,291.03,1.33,18.58,106.41,842.56,0.5,6.38,0.43,333.41,0.54,1.8,3.2,0.14,2.19,1.4,65.37,5.26,,,
716338,615.64,52.69,29.85,10.07,6.6,1.86,110.37,110.44,28.19,17.59,495.68,14.92,60.26,1.04,3.46,94.69,766.88,0.44,7.38,0.38,354.46,0.23,2.35,6.03,0.35,10.11,1.17,87.51,30.0,3.49,0.15,
661072,496.68,45.14,39.15,24.31,18.18,10.24,0.0,346.31,7.57,59.26,5966.7,132.91,120.75,1.94,6.13,73.65,993.01,0.6,4.16,0.55,226.34,0.16,0.76,1.63,0.12,2.46,0.58,147.58,0.76,,,
638389,878.26,29.62,7.22,86.39,77.77,17.21,170.66,1230.51,64.88,13.89,1756.53,26.46,41.64,0.86,8.63,131.77,1956.09,0.66,7.84,2.1,646.36,0.25,5.98,2.74,0.5,26.89,4.34,242.62,76.02,0.69,0.29,
